controls,sample,cov,n,educ_coef,educ_se,educ_p
none,full,nonrobust,3010,0.09317070905908663,0.003580228528237537,8.03885923397385e-135
none,full,HC3,3010,0.09317070905908663,0.003684357624500943,4.309050427580931e-141
none,trim_top1_wage,nonrobust,2984,0.08794995761705317,0.003541637196835136,6.834892104312022e-124
none,trim_top1_wage,HC3,2984,0.08794995761705317,0.0035631494458005708,1.6200931349536627e-134
none,trim_top_bot_1,nonrobust,2954,0.08434733924390704,0.003432747644936451,1.8838960695020751e-121
none,trim_top_bot_1,HC3,2954,0.08434733924390704,0.0034055489785432855,2.0028327299073088e-135
none,non_missing_iq,nonrobust,2061,0.08519912818885832,0.004670712863991622,5.012701628558807e-69
none,non_missing_iq,HC3,2061,0.08519912818885832,0.004810030554810188,3.3401084508329233e-70
"black,south,smsa",full,nonrobust,3010,0.07400899420057867,0.0035054349569210463,2.2798828234551444e-92
"black,south,smsa",full,HC3,3010,0.07400899420057867,0.003648493355401111,1.7513858438376058e-91
"black,south,smsa",trim_top1_wage,nonrobust,2984,0.0694071050720709,0.003461124373556488,5.23146893691092e-84
"black,south,smsa",trim_top1_wage,HC3,2984,0.0694071050720709,0.003546147609146796,2.6514839207073656e-85
"black,south,smsa",trim_top_bot_1,nonrobust,2954,0.06694322099687512,0.003348125900022191,1.67129834690691e-83
"black,south,smsa",trim_top_bot_1,HC3,2954,0.06694322099687512,0.0034115596845440397,9.94076767218374e-86
"black,south,smsa",non_missing_iq,nonrobust,2061,0.07584307591029243,0.00455946536964492,2.185453061050258e-58
"black,south,smsa",non_missing_iq,HC3,2061,0.07584307591029243,0.0047450996445120314,1.6665364266888587e-57
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",full,nonrobust,3010,0.07480850572899336,0.0034977820094834688,1.463937785791708e-94
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",full,HC3,3010,0.07480850572899336,0.003658463361461319,6.250268056735311e-93
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",trim_top1_wage,nonrobust,2984,0.07026522385780179,0.0034547724393185174,3.364853341765772e-86
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",trim_top1_wage,HC3,2984,0.07026522385780179,0.0035550717767212714,5.9854628632744095e-87
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",trim_top_bot_1,nonrobust,2954,0.06775152175997971,0.003342453197576197,1.29594311330629e-85
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",trim_top_bot_1,HC3,2954,0.06775152175997971,0.0034152818891915065,1.4060143571390129e-87
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",non_missing_iq,nonrobust,2061,0.07641818557559402,0.00454279214047201,1.410938837692678e-59
"black,south,smsa,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669",non_missing_iq,HC3,2061,0.07641818557559402,0.004739045825298239,1.6963701348152516e-58
"black,south,smsa,IQ,KWW",full,nonrobust,2040,0.0588825763067818,0.005453636501180679,1.8330702425611605e-26
"black,south,smsa,IQ,KWW",full,HC3,2040,0.0588825763067818,0.005703966454663455,5.540886575869233e-25
"black,south,smsa,IQ,KWW",trim_top1_wage,nonrobust,2019,0.05093345858910477,0.005363893109089076,5.973243768308347e-21
"black,south,smsa,IQ,KWW",trim_top1_wage,HC3,2019,0.05093345858910477,0.005470452129928135,1.2705383385995314e-20
"black,south,smsa,IQ,KWW",trim_top_bot_1,nonrobust,2008,0.05056710463831254,0.0052123206621693,8.903533787744745e-22
"black,south,smsa,IQ,KWW",trim_top_bot_1,HC3,2008,0.05056710463831254,0.0054228226150190495,1.111219085988808e-20
"black,south,smsa,IQ,KWW",non_missing_iq,nonrobust,2040,0.0588825763067818,0.005453636501180679,1.8330702425611605e-26
"black,south,smsa,IQ,KWW",non_missing_iq,HC3,2040,0.0588825763067818,0.005703966454663455,5.540886575869233e-25
